GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dh-projeto-integrador,br.com.meli.dhprojetointegrador.exception,PurchaseOrderNotFoundException,4,0,0,0,2,0,1,0,1,0
dh-projeto-integrador,br.com.meli.dhprojetointegrador.exception,ProductNotFoundException,0,4,0,0,0,2,0,1,0,1
dh-projeto-integrador,br.com.meli.dhprojetointegrador.exception,NotEnoughProductsException,0,4,0,0,0,2,0,1,0,1
dh-projeto-integrador,br.com.meli.dhprojetointegrador.exception,BuyerNotFoundException,0,4,0,0,0,2,0,1,0,1
dh-projeto-integrador,br.com.meli.dhprojetointegrador.exception,BusinessValidatorException,0,18,0,0,0,4,0,3,0,3
dh-projeto-integrador,br.com.meli.dhprojetointegrador.exception,BadRequestException,4,0,0,0,2,0,1,0,1,0
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto,BatchStockDTO.BatchStockDTOBuilder,108,0,0,0,1,0,14,0,14,0
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto,BatchStockDTO,451,0,70,0,15,0,64,0,29,0
dh-projeto-integrador,br.com.meli.dhprojetointegrador.mapper,BatchStockMapperImpl,88,3,6,0,21,1,5,1,2,1
dh-projeto-integrador,br.com.meli.dhprojetointegrador.mapper,BatchStockMapper,0,8,0,0,0,2,0,2,0,2
dh-projeto-integrador,br.com.meli.dhprojetointegrador.exception.handler,ControllerAdvisor,60,82,0,0,20,29,2,5,2,5
dh-projeto-integrador,br.com.meli.dhprojetointegrador.controller,InboundOrderController,23,32,0,0,4,5,1,2,1,2
dh-projeto-integrador,br.com.meli.dhprojetointegrador.controller,ProductController,31,6,8,0,4,1,6,1,2,1
dh-projeto-integrador,br.com.meli.dhprojetointegrador.controller,OrderController,13,48,0,0,2,10,1,3,1,3
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto.response,TotalPrice,0,20,0,0,0,5,0,5,0,5
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto.response,InboundOrderResponse,0,20,0,0,0,5,0,5,0,5
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto.response,ExceptionPayloadResponse,0,40,0,0,0,8,0,8,0,8
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto.response,OrderIntermediateDTO,8,19,0,0,1,4,2,4,2,4
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto.response,InboundResponseRequestBody.InboundResponseRequestBodyBuilder,18,0,0,0,1,0,4,0,4,0
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto.response,ExceptionPayloadDTO.ExceptionPayloadDTOBuilder,17,37,0,0,0,1,2,6,2,6
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto.response,CartProductDTO,144,0,22,0,10,0,23,0,12,0
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto.response,InboundOrderResponse.InboundOrderResponseBuilder,4,14,0,0,0,1,1,3,1,3
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto.response,TotalPrice.TotalPriceBuilder,4,14,0,0,0,1,1,3,1,3
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto.response,InboundResponseRequestBody,85,0,14,0,5,0,16,0,9,0
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto.response,ExceptionPayloadResponse.ExceptionPayloadResponseBuilder,17,37,0,0,0,1,2,6,2,6
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto.response,BatchStockResponse,0,100,0,0,0,13,0,21,0,21
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto.response,BatchStockResponse.BatchStockResponseBuilder,20,70,0,0,0,1,1,11,1,11
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto.response,OrderIntermediateDTO.OrderIntermediateDTOBuilder,6,21,0,0,0,1,1,4,1,4
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto.response,ExceptionPayloadDTO,0,40,0,0,0,8,0,8,0,8
dh-projeto-integrador,br.com.meli.dhprojetointegrador.enums,StatusEnum,0,24,0,0,0,2,0,1,0,1
dh-projeto-integrador,br.com.meli.dhprojetointegrador.enums,CategoryEnum,3,67,0,0,1,9,1,2,1,2
dh-projeto-integrador,br.com.meli.dhprojetointegrador,DhProjetoIntegradorApplication,5,3,0,0,2,1,1,1,1,1
dh-projeto-integrador,br.com.meli.dhprojetointegrador.entity,Buyer,0,50,0,0,0,8,0,11,0,11
dh-projeto-integrador,br.com.meli.dhprojetointegrador.entity,Seller.SellerBuilder,36,0,0,0,1,0,6,0,6,0
dh-projeto-integrador,br.com.meli.dhprojetointegrador.entity,Product.ProductBuilder,21,51,0,0,0,1,2,8,2,8
dh-projeto-integrador,br.com.meli.dhprojetointegrador.entity,Category,36,34,0,0,5,5,10,5,10,5
dh-projeto-integrador,br.com.meli.dhprojetointegrador.entity,PurchaseOrder,0,50,0,0,0,8,0,11,0,11
dh-projeto-integrador,br.com.meli.dhprojetointegrador.entity,InboundOrder,13,60,1,1,1,11,3,13,2,13
dh-projeto-integrador,br.com.meli.dhprojetointegrador.entity,Section.SectionBuilder,12,42,0,0,0,1,1,7,1,7
dh-projeto-integrador,br.com.meli.dhprojetointegrador.entity,Warehouse.WarehouseBuilder,15,30,0,0,0,1,2,5,2,5
dh-projeto-integrador,br.com.meli.dhprojetointegrador.entity,CartProduct.CartProductBuilder,15,30,0,0,0,1,2,5,2,5
dh-projeto-integrador,br.com.meli.dhprojetointegrador.entity,Buyer.BuyerBuilder,10,35,0,0,0,1,1,6,1,6
dh-projeto-integrador,br.com.meli.dhprojetointegrador.entity,Agent.AgentBuilder,10,35,0,0,0,1,1,6,1,6
dh-projeto-integrador,br.com.meli.dhprojetointegrador.entity,Agent,15,35,0,0,1,7,4,7,4,7
dh-projeto-integrador,br.com.meli.dhprojetointegrador.entity,PurchaseOrder.PurchaseOrderBuilder,10,35,0,0,0,1,1,6,1,6
dh-projeto-integrador,br.com.meli.dhprojetointegrador.entity,BatchStock.BatchStockBuilder,27,72,0,0,0,1,2,11,2,11
dh-projeto-integrador,br.com.meli.dhprojetointegrador.entity,Section,23,37,0,0,2,7,6,7,6,7
dh-projeto-integrador,br.com.meli.dhprojetointegrador.entity,Product,31,49,0,0,2,9,8,9,8,9
dh-projeto-integrador,br.com.meli.dhprojetointegrador.entity,InboundOrder.InboundOrderBuilder,12,42,0,0,0,1,1,7,1,7
dh-projeto-integrador,br.com.meli.dhprojetointegrador.entity,Seller,37,3,0,0,6,1,8,1,8,1
dh-projeto-integrador,br.com.meli.dhprojetointegrador.entity,CartProduct,22,28,0,0,3,5,6,5,6,5
dh-projeto-integrador,br.com.meli.dhprojetointegrador.entity,Warehouse,19,31,0,0,2,6,5,6,5,6
dh-projeto-integrador,br.com.meli.dhprojetointegrador.entity,Category.CategoryBuilder,29,34,0,0,0,1,4,5,4,5
dh-projeto-integrador,br.com.meli.dhprojetointegrador.entity,BatchStock,31,79,0,0,1,13,8,15,8,15
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto.request,InboundOrderUpdateRequest.InboundOrderUpdateRequestBuilder,12,42,0,0,0,1,1,7,1,7
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto.request,InboundOrderUpdateRequest,0,60,0,0,0,9,0,13,0,13
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto.request,WarehouseRequest,30,0,0,0,6,0,7,0,7,0
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto.request,AgentUpdateRequest.AgentUpdateRequestBuilder,36,0,0,0,1,0,6,0,6,0
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto.request,SectionUpdateRequest.SectionUpdateRequestBuilder,36,0,0,0,1,0,6,0,6,0
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto.request,ProductInput.ProductInputBuilder,6,21,0,0,0,1,1,4,1,4
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto.request,PurchaseOrderInput.PurchaseOrderInputBuilder,10,35,0,0,0,1,1,6,1,6
dh-projeto-integrador,br.com.meli.dhprojetointegrador.dto.request,BatchStockUpdateRequest,0,100,0,0,0,13,0,21,0,21
